A&A	Astronomy and Astrophysics
kbls.conf	KITP: Blackboard Lunch Series
kcs..conf	KITP: Colloquium Series
KEIJ	Kansei Engineering International Journal
KernR	Kernforschungsanlage Rept Res Results Solid State Nucl Phys
KexT	Kexue Tongbao
KFNT	Kinematika i Fizika Nebesnykh Tel
KFNTS	Kinematika i Fizika Nebesnykh Tel Supplement
Khago	Khagol
KharI	Kharkov Izdanie IRE AN USSR
KhPl	Khimiia Plazmy
kiev.rept	Main Astronomical Observatory Kiev, Ukraine Report
KiIND	Kiev Izdatel Naukova Dumka
KiInF	Kiev Institut Fiziki AN USSR
KiInM	Kiev Institut Matematiki AN USSR
KiIzT	Kiev Izdatel Tekhnika
KIMMJ	Korean Institute of Metals and Materials Journal
KIMS	Knowledge: An Illustrated Magazine of Science
KIPME	Kiev Institut Problem Modelirovaniia Energetike AN USSR
KIzIM	Kiev Izdanie Instituta Matematiki AN USSR
KIzKU	Kazan Izdatel Kazanskogo Universiteta
KIzS	Kishinev Izdatel Shtiintsa
KIzVS	Kiev Izdatel Vishcha Shkola
KKR	Kagaku Kogaku Ronbunshu
KlBer	Kleinheubacher Berichte
KNAB	Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences
KNT	Kosmicheskaia Nauka i Tekhnika
KodOB	Kodaikanal Observatory Bulletins
KodRe	Kodaikanal Observatory Reprints
KomMe	Komety i Meteory
KomTs	Kometnyj Tsirkulyar
KosIs	Kosmicheskie Issledovaniia
KosIU	Kosmicheskie Issledovaniia Ukraine
KosLu	Kosmicheskie Luchi
KosNT	Kosmichna Nauka i Tekhnologiya
KosRo	Kosmicke Rozhledy
Kozmo	Kozmos
KPCB	Kinematics and Physics of Celestial Bodies
KPCBS	Kinematics and Physics of Celestial Bodies, Supplement
kpls.conf	KITP: Public Lecture Series
KPNON	Kitt Peak National Observatory Newsletter
KSVH	Kungl. Svenska Vetenskapsakademiens Handlingar
KTTM	Khimiia i Tekhnologiia Topliv i Masel
KUFEM	Kyushu University Faculty of Engineering Memoirs
KUFSM	Kyushu University Faculty of Science Memoirs
KvanE	Kvantovaia Elektronika Moscow
KVeBB	Kleine Veroeffentlichungen der Universitaetssternwarte zu Berlin Babelsberg
KVnT	Kibernetika i Vychislitelnaia Tekhnika
KyITB	Kyushu Institute Technology Bulletin
KyoMe	Kyoto University Faculty Engineering Memoirs
KyUAM	Kyushu University Research Institute Applied Mechanics Reports
KyUSR	Kyushu University Research Institute Industrial Science Reports
KyUTR	Kyushu University Technology Reports
KzSib	Akademiia Nauk SSSR Sibirskoi Otdelenie Izvestiia Seriia Tekhnicheskikh Nauk
LaEO	Laser Elektro Optik
LAES	Letters in Applied and Engineering Sciences
LaFoc	Laser Focus
LaJ	Lapidary Journal
LanB	Landolt B&ouml;rnstein
Langm	Langmuir
Lapa	Majalah LAPAN
LaPhL	Laser Physics Letters
LaPhy	Laser Physics
LasJ	Laser Journal
LAstr	L'Astronomie
LatJP	Latvian Journal of Physics and Technical Sciences
LatME	Latviiskii Matematicheskii Ezhegodnik
LawOB	Laws Observatory Bulletin, University of Missouri
LBLRR	LBL Research Review
LCEC	Luxembourg Commission European Communities
LeBAN	Leningrad Biblioteka Akademii Nauk SSSR
LeEne	Leningrad Energoizdat
LeGid	Leningrad Gidrometeoizdat
LeIzE	Leningrad Izdatel Energiia
LeIzG	Leningrad Izdatel Gidrometeoizdat
LeIzK	Leningrad Izdatel Khimiia
LeIzM	Leningrad Izdatel Mashinostroenie
LeIzN	Leningrad Izdatel Nauka
LeIzS	Leningrad Izdatel Sudostroenie
LeIzU	Leningrad Izdatel Leningradskogo Universiteta
LeLen	Leningrad Lenizdat
LePub	Learned Publishing
LeRad	Le Radium
LERec	L'Echo des Recherches
LFR	Lietuvos Fizikos Rinkinys
LFTR	LEST Foundation, Technical Report
LGUPM	Leningradskii Gosudarstvennyi Universitet Problemy Matematicheskoi Fiziki
LHBl	La Houille Blanche
LHEP	Letters in High Energy Physics
LHMT	Letters Heat Mass Transfer
LIACo	Liege International Astrophysical Colloquia
LicOB	Lick Observatory Bulletin
LiCr	Liquid Crystals
Life	Life
LimOc	Limnology and Oceanography
Litho	Lithos
LitJP	Lithuanian Journal of Physics and Technical Sciences
LIVS	Lvov Izdatel Vishcha Shkola
LIzNe	Leningrad Izdatel Nedra
LLabJ	Lincoln Laboratory Journal
llnl.rept	Lawrence Livermore National Lab. Report
LMaPh	Letters in Mathematical Physics
LMMP	Lasers in Manufacturing and Materials Processing
LNCS	Lecture Notes in Computer Science
LNEA	Lecture Notes and Essays in Astrophysics
LNEn	Lecture Notes in Engineering, Berlin Springer Verlag
LNES	Lecture Notes in Earth Sciences, Berlin Springer Verlag
LNM	Lecture Notes in Mathematics, Berlin Springer Verlag
LNP	Lecture Notes in Physics, Berlin Springer Verlag
LNSP	Lecture Notes and Supplements in Physics
lock.rept	Lockheed Missiles and Space Co. Report
LockH	Lockheed Horizons
LOEle	L'Onde Electrique
LowOB	Lowell Observatory Bulletin
LPB	Laser and Particle Beams
LPI	Lunar and Planetary Science Conference
lpi..rept	Lunar and Planetary Inst. Technical Report
LPIBu	LPI Bulletin
LPICo	LPI Contributions
LPIS	Lunar and Planetary Institute Science Conference Abstracts Supplement
LPITR	Lunar and Planetary Institute Technical Report
LPlaC	Observatorio Astronomico de La Plata Circular
LPlaS	Observatorio Astronomico de La Plata Separata Astronomica
LPRv	Laser & Photonics Reviews
LPSC	Lunar and Planetary Science Conference Proceedings
LR	Luft und Raumfahrt
LRCA	Living Reviews in Computational Astrophysics
LRR	Living Reviews in Relativity
LRSP	Living Reviews in Solar Physics
LS	Hamburger Sternw. Warner & Swasey Obs.
LSA	Light: Science & Applications
Lsphe	Lithoshere
LSSR	Life Sciences and Space Research
LTerm	La Termotecnica
LTP	Low Temperature Physics
LubEn	Lubrication Engineering
lubr.rept	Louisiana State Univ., Baton Rouge Report
LunOC	Lund Observatory Circular
LuRaQ	Luft und Raumfahrt Quarter
LvoTs	L'vovskij Ordena Lenina Gosudarstvennyj Universitet Tsirkulyar
M&P	Moon and Planets
M&PS	Meteoritics and Planetary Science
M&PSA	Meteoritics and Planetary Science Supplement
MAA	Mediterranean Archaeology and Archaeometry
MAAAS	Memoirs of the American Academy of Arts and Sciences
MaCom	Mathematics of Computation
MaDes	Machine Design
MadOb	Madras Observatory Observations
MadOO	Madras Observatory Astronomical Observations
MaFiz	Matematicheskaia Fizika
MAGeo	Mathematical Approaces to Geophysics Series
MagFE	Magnetic Fusion Energy
MagGi	Magnitnaia Gidrodinamika
MagIs	Magnitosfernye Issledovaniia
MaHT	Materials at High Temperatures
MaMeA	Sankt Peterburgskii Universitet Vestnik Seriia Matematika Mekhanika Astronomiia
MAMMP	Mechanics of Advanced Materials and Modern Processes
MaMol	Macromolecules
ManGe	Manuscripta Geodaetica
ManRv	Manufacturing Review
MAP	Meteorology and Atmospheric Physics
MApAn	Methods and Applications of Analysis
MaPEJ	Mathematical Physics Electronic Journal
MApFl	Methods and Applications in Fluorescence
MaPhS	Mathematical Physics Studies
MaPr	Mathematical Proceedings
MAPSE	Mission Analysis Program Solar Electric Propulsion MAPSEP
MaRBu	Materials Research Bulletin
MarEc	Marine Ecology
MarGe	Marine Geodesy
MarGR	Marine Geophysical Research
MarMP	Marine Micropaleontology
MarPG	Marine and Petroleum Geology
MarRv	Marconi Review
Mashi	Mashinostroenie
MatAn	Mathematische Annalen
Mate	Materials
MaTeJ	ManTech Journal
Mater	Materialpruefung
MatEv	Materials Evaluation
MatG	Mathematical Geology
math	arXiv Mathematics e-prints
math.ph	arXiv Mathematical Physics e-prints
MatIs	Matematicheskie Issledovaniia
MatL	Materials Letters
MatM	Mathematical Modelling
MatMo	The Mathemtical Monthly
MatNa	Mathematische Nachrichten
MAtom	Moscow Atomizdat
MatPE	Mathematics of Planet Earth
MatPr	Mathematical Programming
MatQT	Materials for Quantum Technology
MatRv	Mathematical Reviews
MatSP	Materials Science Poland
MatST	Materials Science and Technology
MatTe	Materiaux et Techniques
MatTh	Materials Theory
MatTr	Materials Transactions JIM
MatVe	Matematichki Vesnik
MatZe	Mathematische Zeitschrift
MAUTx	University of Texas Monographs in Astronomy
MAWMN	Mainz Akademie Wissenschaften Mathematisch Naturwissenschaftliche Klasse
MBB	Molecular Biology and Biophysics
MCBEH	Monatliche Correspondenz zur Beforderung der Erd- und Himmels-kunde
MCM	Mechanics of Composite Materials
MComM	Mathematical and Computer Modelling
MComP	Methods in Computational Physics
MeAar	Meddelser fra Ole Romer Observatoriet Aarhus
MeApp	Meteorological Applications
MeARB	Academie Royale de Belgique Classe des Sciences Memoires
Meas	Measurement
MeAut	Meres es Automatika
Mecc	Meccanica
MecEn	Mechanical Engineering
MecSc	Mechanical Sciences
MecSM	Mechanics of Soft Materials
MedPh	Medical Physics
MEdRJ	Mathematics Education Research Journal
MEE	Materials of Electronics Engineering
MEEP	Monographs on Environment, Earth and Planets
MeeRe	Kenneth Mees Observatory Reprints
MeGen	Mededelingen Universiteit te Gent Sterrenkundig Instituut
MeGid	Meteorologiia i Gidrologiia
MEI	Mathematical Engineering Industry
MeInd	Mechanics and Industry
MekGS	Mekhanika Giroskopicheskikh Sistem
MekKM	Mekhanika Kompozitnykh Materialov
MekP	Mekhanika Polimerov
MekTT	Mekhanika Tverdogo Tela
MelAR	Melbourne Observatory Annual Reports
MeLeu	Mededelingen van het Astronomisch Instituut van de Katholieke Universiteit Leuven
MelOO	Melbourne Observatory Observations
MeLuF	Meddelanden fran Lunds Astronomiska Observatorium Serie I
MeLuS	Meddelanden fran Lunds Astronomiska Observatorium Serie II
MeMaT	Mechanism and Machine Theory
MEner	Moscow Energoizdat
MEPS	Marine Ecology Progress Series
MeRAu	Mesures Regulation Automatisme
Mercu	Mercury
MeReC	Mechanics Research Communications
MeRR	Meteornoe Rasprostranenie Radiovoln, Kazan
MerRe	Instituto Venezolano de Astronomia Merida Venezuela
MeScR	Measurement Science Review
MeScT	Measurement Science and Technology
MeSol	Mechanics of Solids
MeSRM	Memoires Scientifiques de la Revue de Metallurgie
MeSSR	Akademiia Nauk SSSR Mekhanika Zhidkosti i Gaza
Met	Meteorite - The International Quarterly of Meteorites and Meteorite Science
Metal	Metallofizika
MetaM	Metamaterials
MetAP	Meteorology Atmospheric Physics
Meteo	La Meteorologie
MeTeS	Mechanika Teoretyczna i Stosowana
MetHy	Meteorology Hydrology JPRS
Metic	Meteoritics
Metik	Meteoritika
MetIs	Meteornye Issledovaniia
Metit	Meteorites
MetMa	Meteorological Magazine
MetMo	Meteorological Monographs
Metoo	Meteoor
Metro	Metrologia
MetRT	Metallurgical Research and Technology
MetRu	Meteorologische Rundschau
MetVy	Metody Vychislenii
MetZe	Meteorologische Zeitschrift
MetZp	Meteorologicke Zpravy
Meu1K	Observatoire de Meudon
MeUpp	Meddelanden fran Astronomiska Observatorium Uppsala
mevt.rept	Mars: Evolution of Volcanism, Tectonics, and Volatiles
MExP	Methods of Experimental Physics
MFiNM	Matematicheskaia Fizika i Nelineinaia Mekhanika
MGeo	Manuscr. Geod.
MGeoE	Materials and Geoenvironment
MGeol	Marine Geology
MGIMO	Moskovskii Gosudarstvennyi Universitet Institut Mekhaniki Otchet
MGQG	Marine Geology and Quaternary Geology
MGTVM	Moskovskij Gosudarstvennyj Tekhnicheskij Universitet Vestnik Seriya Mashinostroenie
MGTVP	Moskovskij Gosudarstvennyj Tekhnicheskij Universitet Vestnik Seriya Priborostroenie
MGUkr	Akademiia Nauk Ukrainskoi SSR Morskie Gidrofizicheskie Issledovaniia
MGUMN	Moskovskii Gosudarstvennyi Universitet Institut Mekhaniki Nauchnye Trudy
MHD	Magnetohydrodynamics
MHITR	Mitsubishi Heavy Industries Technical Review
MiARB	Astronomisches Rechen-Institut Heidelberg Mitteilungen Serie B
MiARI	Astronomisches Rechen-Institut Heidelberg Mitteilungen Serie A
MiBas	Mitteilungen der Astronomisch-Meteorologischen Anstalt der Universitaet Basel Astronomische Reihe
MiBon	Mitteilungen der Astronomischen Institute der Universitaet Bonn
MiBre	Astronomische Mitteilungen der Koeniglichen Universitaets-Sternwarte zu Breslau
MicEc	Microbial Ecology
MicgQ	Microgravity Quarterly
MicNa	Microsystems & Nanoengineering
MicST	Microgravity Science and Technology
MicWa	Microwaves
MIEBA	Moscow Izdatel Energiia Biblioteka Avtomatike
MIEBR	Moscow Izdatel Energiia Biblioteka Radioelektronike
MiElC	Military Electronics Countermeasures
MiGIR	Mitteilungen Geod. Institut Rheinischen Friedrich-Wilhelms-Universitaets. Bonn
MiGoe	Astronomische Mitteilungen der Universitaets-Sternwarte zu Goettingen
MiGra	Mitteilungen der Universitaets-Sternwarte Graz
MiHam	Mitteilungen der Hamburger Sternwarte in Bergedorf
MiHar	Mitteilungen der Bruno-H.-Buergel-Sternwarte Hartha DDR
MiInn	Mitteilungen der Sternwarte Innsbruck
MiINT	Minsk Izdatel Nauka i Tekhnika
MiJen	Mitteilungen der Universitaets-Sternwarte zu Jena
MiJo	Microwave Journal
MiKon	Mitteilungen der Konkoly Sternwarte Budapest-Szabadsaghegy
Mikro	Mikroelektronika
MikSb	Mikroelektronika Sbornik
MiMic	Microscopy and Microanalysis
MIMPE	Modern Instrumentation and Measurements in Physics and Engineering
MiMue	Mitteilungen des Astronomischen Instituts des Universitaet Munster
MiMun	Mitteilungen der Sternwarte Munchen
MINCV	Moscow Izdatel Nauka AN SSSR Chteniia imeni Vernadskogo
MinDe	Mineralium Deposita
Mine	Minerals
Miner	Mineralogia
MINFI	Moscow Izdatel Nauka AN SSR Fizicheskii Institut Trudy
MINGI	Moscow Izdatel Nauka AN SSSR Geologicheskoi Institut Trudy
MinJ	Mineralogical Journal
MinM	Mineralogical Magazine
MINMI	Moscow Izdatel Nauka AN SSSR Matematicheskii Institut Trudy
MinPe	Mineralogy and Petrology
MINTF	Moscow Izdatel Nauka Teoreticheskaia Fizika
MINVS	Moscow Izdatel Nauka Vychislitelnaia Seismologiia
MiOTL	Microwave and Optical Technology Letters
MiPot	Mitteilungen des Astrophysikalischen Observatoriums Potsdam
MiPul	Mitteilungen der Nikolai-Hauptsternwarte zu Pulkowo
MiRe	Microelectronics Reliability
Mirro	The NOIRLab Mirror
MiSon	Mitteilungen der Sternwarte zu Sonneberg
MisSp	Missiles Spacecraft
MISST	Moscow Izdatel Sviaz Statisticheskaia Teoriia sviazi
MISTr	Matematicheskii Institut imeni Steklova Trudy
mit..rept	Massachusetts Inst. of Tech. Report
MitAe	Max Planck Institut Aeronomie Mitteilungen
MitAG	Mitteilungen der Astronomischen Gesellschaft Hamburg
MiTau	Zentralinstitut fuer Astrophysik Mitteilungen des Karl-Schwarzschild-Observatoriums Tautenburg
MitSI	Mitteilungen Mitt. Staatl. Astr. Sternberg-Inst.
MitSZ	Astronomischen Mitteilungen Eidgen. Sternwarte Zurich
MiTue	Mitteilungen des Astronomischen Instituts der Universitaet Tuebingen
MitVS	Zentralinstitut fuer Astrophysik Sternwarte Sonneberg Mitteilungen ueber Veraenderliche Sterne
MiWie	Mitteilungen der Universitaets-Sternwarte Wien
MIzLI	Moscow Izdatel Legkaia Industriia
MIzMa	Moscow Izdatel Mashinostroenie
MIzMe	Moscow Izdatel Metallurgiia
MIzMU	Moscow Izdatel Moskovskogo Universiteta Pt
MIzNe	Moscow Izdatel Nedra
MIZNZ	Moscow Izdatel Znanie Novoe Zhizni Nauke Tekhnike Seriia Fizika
MIzRS	Moscow Izdatel Radio Sviaz
MIzSR	Moscow Izdatel Sovetskoe Radio
MiZur	Astronomische Mitteilungen der Eidgen&ouml;ssischen Sternwarte Zurich
MIzVS	Moscow Izdatel Vysshaia Shkola
MJPS	Moldavian Journal of the Physical Sciences
MKAtl	Astrophysics monographs University of Chicago Press
MLS&T	Machine Learning: Science and Technology
MLST	Marine Life Science & Technology
MM	Metals and Materials
MMAAR	Annual Report of the Maria Mitchell Association
MmARB	Memoires of the Academie Royale de Belgique
MmArc	Osservazioni e memorie dell'Osservatorio astrofisico di Arcetri
MmArS	Osservazioni e memorie dell'Osservatorio astrofisico di Arcetri - Appendici
MMAS	Mathematical Methods in the Applied Sciences
MmASI	Memoirs of the Astronomical Society of India
MmBAA	Memoirs of the British Astronomical Association
MMBR	Microbiology and Molecular Biology Reviews
mmc..rept	Martin Marietta Corp. Report
MmCP	Macromolecular Chemistry and Physics
MME	Mechanics and Mechanical Engineering
MMFMP	Matematicheskie Metody i Fiziko Mekhanicheskie Polia
MMI	Metals and Materials International
MmKMO	Kakioka Magnetic Observatory Memoirs
MmKyo	Memoirs Faculty of Sciences University of Kyoto
MmMtS	Memoires of the Mount Stromlo Observervatory
MMNA	Mathematical Modelling Numerical Analysis
MmNap	Memorie del R. Osservatorio di Capodimonte in Napoli
MmNAS	Memoirs of the National Academy of Sciences
MMPhy	Masters of Modern Physics
MmRAS	Memoirs of the Royal Astronomical Society
MmSAI	Memorie della Societa Astronomica Italiana
MmSGI	Memorie della Societa Geologica Italiana
MmSS	Memorie della Societa Degli Spettroscopisti Italiani, serie 2
MmSSI	Memorie della Societa Degli Spettroscopisti Italiani
MMTA	Metallurgical and Materials Transactions A
MMTB	Metallurgical and Materials Transactions B
MMTE	Metallurgical and Materials Transactions E
MMTET	Matematicheskoe Modelirovanie i Teoriia Elektricheskikh Tsepei
MNRAS	Monthly Notices of the Royal Astronomical Society
MNSL	Micro and Nano Systems Letters
MNSSA	Monthly Notes of the Astronomical Society of South Africa
MNSSJ	Monthly notes of the Astronomical Society of South Africa
ModGe	Modern Geology
ModIn	Modern Instrumentation
ModPh	Modern Physics
MoEBA	Moscow Energoatomizdat Biblioteka Automatike
MoEIT	Moskovskii Energeticheskii Institut Trudy
MoGid	Moscow Gidrometeoizdat
MoIKI	Moscow Institut Kosmicheskikh Issledovanii AN SSSR
MoINI	Moscow Izdatel Nauka Issledovaniia Geomagnetizmu Aeronomii i Fizike Solntsa
MoIPM	Moscow Institut Prikladnoi Matematiki AN SSSR
MoIzA	Moscow Izdatel Atomizdat
MoIzE	Moscow Izdatel Energiia
MoIzK	Moscow Izdatel Khimiia
MoIzM	Moscow Izdatel Moskovskogo Universiteta
MoIzN	Moscow Izdatel Nauka
MoIzS	Moscow Izdatel Sviaz
MoIzT	Moscow Izdatel Transport
MoIzV	Moscow Izdatel VINITI
MoIzZ	Moscow Izdatel Znanie
MolAs	Molecular Astrophysics
MoLLP	Moshchnye lazery i lazernaia plazma
MolPh	Molecular Physics
MoMGK	Moscow Mezhduvedomstvennyi Geofizicheskii Komitet
MoMTN	Moscow Mezhdunarodnyi Tsentr Nauchnoi i Tekhnicheskoi Informatsii
MonAP	Communications du Departement d'Astrophysique de la Faculte des Sciences de Mons Mons Astrophysical Papers
Moon	Moon
MorGI	Morskie Gidrofizicheskie Issledovaniia
MoSim	Molecular Simulation
MosIZ	Moscow IZMIRAN
MosVI	Moscow Voennoe Izdatel
MosVo	Moscow Voenizdat
MotZe	Motortechnische Zeitschrift
MoVIN	Moscow VINITI
MoVNT	Moscow Vychislitelnyi Tsentr AN SSSR
MoVyS	Moscow Vysshaia Shkola
MPAG	Mathematical Physics, Analysis and Geometry
MPARp	Max Planck Institut fur Astrophysik Report
MPBu	Minor Planet Bulletin
MPC	Minor Planet Circulars
MPCPS	Mathematical Proceedings of the Cambridge Philosophical Society
MPDS	Mechanics and Physics of Discrete Systems
MPEC	Minor Planet Electronic Circulars
MPERp	MPE Report
MPFD	Microdevices: Physics and Fabrication Technologies
MPLA	Modern Physics Letters A
MPLB	Modern Physics Letters B
MpNp	Microplastics and Nanoplastics
MRE	Materials Research Express
MROVG	Munich R Oldenbourg Verlag GmbH
MRRev	Magnetic Resonance Review
MRSAd	MRS Advances
MRSBu	MRS Bulletin
MRSCo	MRS Communications
MRSES	MRS Energy and Sustainability
MRSSP	Materials Research Society Symposia Proceedings
MS&E	Materials Science and Engineering Conference Series
MSAIQ	Societa Astronomica Italiana Memorie Quarter
MSAIS	Memorie della Societa Astronomica Italiana Supplementi
MSB	Methods in Subnuclear Physics
MSCTN	Meteorological Satellite Center Technical Note
MSEnA	Materials Science and Engineering A
MSEnB	Materials Science and Engineering B
MSEnC	Materials Science and Engineering C
MSEng	Materials Science and Engineering
MSEnR	Materials Science and Engineering R Reports
MSF	Materials Science Forum
msfc.rept	NASA Marshall Space Flight Center Report
MSHT	Metal Science and Heat Treatment
MSHTM	Metal Science and Heat Treatment of Metals
MSM	Mechanics of Structures and Machines
MSMFR	Milano Seminario Matematico e Fisico Rendiconti
MSMSE	Modelling Simul. Mater. Sci. Eng.
Msngr	The Messenger
MSPE	Management Systems in Production Engineering
MSRSL	Memoires of the Societe Royale des Sciences de Liege
MSRv	Mass Spectrometry Reviews
MSSP	Mechanical Systems and Signal Processing
MsT	Masters Thesis
MT	Metallurgical Transactions
MTA	Metallurgical Transactions A
MTB	Metallurgical Transactions B
MTDM	Mechanics of Time-Dependent Materials
MTEng	Microscale Thermophysical Engineering
MTObM	Metallovedenie i Termicheskaia Obrabotka Metallov
MtoIs	Meteorologicheskie Issledovaniia
MTPMM	Metallurgical Transactions Physical Metallurgy Materials Science
MTRMA	Meteor Forschungsergebnisse Reihe B Meteorologie und Aeronomie
MtSOM	Mount Stromlo Observatory Mimeographs
MtWAR	Mount Wilson and Palomar Observatory Annual Report
muaa.rept	Michigan Univ. Final Report
MulSE	Multiscale Science and Engineering
MuMat	Multifunctional Materials
MUPB	Moscow University Physics Bulletin
MURJE	Mehran University Research Journal of Engineering and Technology
MUSS	Muenchen Universitaets Schriften Serie
MUVSK	Moskovskii Universitet Vestnik Seriia Khimiia
MVMP	Methoden und Verfahren der Mathematischen Physik
MVSFA	Moskovskii Universitet Vestnik Seriia Fizika Astronomiia
MVSMM	Moskovskii Universitet Vestnik Seriia Matematika Mekhanika
MWE	Mine Water and The Environment
MWGBI	Mannheim West Germany Bibliographisches Institut AG
MWOAR	Mount Wilson Observatory Annual Report
MWRv	Monthly Weather Review
NaAIJ	Nanjing Aeronautical Institute Journal
NacEl	Nachrichten Elektronik
NacZe	Nachrichtentechnische Zeitschrift
NaGe	National Geographic
NanMe	Nanomanufacturing and Metrology
NanoA	Nanoscale Advances
NanoE	Nano Express
NanoF	Nano Futures
NanoH	Nanoscale Horizons
NanoL	Nano Letters
Nanop	Nanophotonics
NanoR	Nanoscale Reports
Nanos	Nanoscale
Nanot	Nanotechnology
Nansp	Nanospectroscopy
NanSy	Nanoelectromechanical Systems
Nanth	Nanothermoelectrics
NapCo	Osservatorio Astronomico di Capodimonte Napoli Contributi Astronomici
NaPho	Nature Photonics
NaRes	Nano Research
nasa..crs	NASA Contractor Report Series
nasa..tms	NASA Technical Memorandum Series
nasa.rept	National Aeronautics and Space Administration Report
NASCL	NASA Circular Letter
NASCP	NASA Conference Publication
NASCR	NASA Contract Report
NASRP	NASA Reference Publication
NASSP	NASA Special Publication
NASTM	NASA Technical Memo
NatAs	Nature Astronomy
NatBi	Nature Biotechnology
NatCC	Nature Climate Change
NatCh	Nature Chemistry
NatCo	Nature Communications
NatEn	Nature Energy
NatGe	Nature Geoscience
NatH	Natural History
NATi	Nordisk Astronomisk Tidsskrift
NATM	Nonlinear Analysis Theory Methods Applications
NatMa	Nature Materials
NatNa	Nature Nanotechnology
NatPh	Nature Physics
NatRM	Nature Reviews Materials
NatRP	Nature Reviews Physics
NatSc	Natural Science
NatSR	Scientific Reports
NatSy	Nature Synthesis
Natur	Nature
NavAu	Navigation Australia
Navig	Navigation
NavPa	Navigation Paris
NAZ	Nachrichtenblatt der Astronomischen Zentralstelle Heidelberg
NBSSP	National Bureau of Standards Special Publication
NBSTN	National Bureau of Standards Technical Note
NCE	Noise Control Engineering Journal
NCim	Il Nuovo Cimento
NCimA	Nuovo Cimento A Serie
NCimB	Nuovo Cimento B Serie
NCimC	Nuovo Cimento C Geophysics Space Physics C
NCimD	Nuovo Cimento D Serie
NCimL	Nuovo Cimento Lettere
NCimR	Nuovo Cimento Rivista Serie
NCimS	Nuovo Cimento Serie
NCNS	Network: Computation in Neural Systems
NDS	Nuclear Data Sheets
NDSA	Nuclear Data Sheets Section A
NDSB	Nuclear Data Sheets Section B
NDT	Nuclear Data Tables
NDTI	Nondestructive Testing and Evaluation International
NeuL	Neuroscience Letters
NewA	New Astronomy
NewAR	New Astronomy Reviews
NewSc	New Scientist
NewSp	New Space
ngdc.rept	National Geophysical Data Center Comprehensive Reports
NGFAW	Nachrichtentechnische Gesellschaft Fachtagung ueber Antennen
NHCWP	North Hollywood Calif Western Periodicals Co
NHESD	Natural Hazards and Earth System Sciences Discussions
NHESS	Natural Hazards and Earth System Sciences
NHTA	Numerical Heat Transfer Part A - Applications
NHTB	Numerical Heat Transfer Part B - Fundamentals
nhud.rept	New Hampshire Univ. Report
Nic1K	Observatoire de Nice
nicm.rept	Space Telescope NICMOS Instrument Science Report
NihOC	Nihondaira Observatory Circular
NIMPA	Nuclear Instruments and Methods in Physics Research A
NIMPB	Nuclear Instruments and Methods in Physics Research B
NIMPR	Nuclear Instruments and Methods in Physics Research
NInfo	Nauchnye Informatsii
NINT	Nablyud. Iskusstvennykh Nebesnykh Tel
NISTJ	National Institute of Standards and Technology Journal of Research
NISZ	Nabliudeniia Iskusstvennykh Sputnikov Zemli
NIUNA	Napoli Istituto Universitario Navale Annali
NJMM	Neues Jahrbuch Mineralogie Monatshefte
NJPh	New Journal of Physics
NJSR	Netherlands Journal of Sea Research
NKG	Nihon Kessho Gakkaishi
NLE	Nonlinear Engineering
NML	Nano-Micro Letters
nmso.rept	NASA Marshall Space Flight Center Solar Observatory Report
NMTE	Nanoscale and Microscale Thermophysical Engineering
NN	Neural Networks
noao.prop	NOAO Proposal
NoDef	Not Defined
NOGB	Nachr. Olbers-Ges. Bremen
NOHIC	Nizamiah JAPAL Rangapur Observatories Hyderabad India Contributions
NoIGG	Novosibirsk Institut Geologii i Geofiziki SO AN SSSR
NoIzN	Novosibirsk Izdatel Nauka
Nonli	Nonlinearity
NoPar	Notes et Informations
NOSCA	Observaciones Astronomicas Hechas en el Observatorio de Santiago de Chile
nova.pres	AAS Nova Highlights
NovIG	Novosibirsk Institut Gidrodinamiki SO AN SSSR Dinamika Sploshnoi Sredy
NPAE	Nuclear Physics and Atomic Energy
NPGD	Nonlinear Processes in Geophysics Discussions
NPGeo	Nonlinear Processes in Geophysics
NPhS	Nature Physical Science
npjAM	npj Asia Materials
npjCA	npj Climate and Atmospheric Science
npjCM	npj Computational Mathematics
npjMG	npj Microgravity
npjQI	npj Quantum Information
npjQM	npj Quantum Materials
npjRM	npj Regenerative Medicine
npjSL	npj Scientific of Learning
NPNDS	Neutron Physics and Nuclear Data in Science and Technology
NPPP	Nuclear and Particle Physics Proceedings
NPPSB	Nonequilibrium Problems in the Physical Sciences and Biology
NRA&A	Nouvelle Revue d'Aeronautique et d'Astronautique
nrao.pres	National Radio Astronomy Observatory Press Release
NRAON	National Radio Astronomy Observatory Newsletter
NRAOP	National Radio Astronomy Observatory Publications
NRAOR	National Radio Astronomy Observatory Reprints
NRAOW	National Radio Astronomy Observatory Workshop
NRL	Nanoscale Research Letters
nrl..rept	Naval Research Lab. Report
nro..rept	Nobeyama Radio Observatory Report
NROA	Nouvelle Revue d'Optique Appliquee
NROpt	Nouvelle Revue d'Optique
NRRv	Naval Research Reviews
NRvEE	Nature Reviews Earth and Environment
NRvHM	New Review of Hypermedia and Multimedia
NSAP	Nonlinear, Statistical and Applied Physics
NSE	Nuclear Science and Engineering
NSM	Novel Superconducting Materials
NSMMT	Nanoscale Systems Mathematical Modeling Theory and Applications
NSSDC	NSSDC Publication
NSTBL	Notes Scientifiques et Techniques du Bureau des Longitudes
